Bit	Base
0	R
0	R
1	R
0	R
0	D
0	R
0	R
0	R
1	R
0	R
0	R
0	R
0	D
0	R
0	R
0	D
1	R
0	R
1	D
1	R
0	R
0	R
1	R
1	R
1	D
0	R
0	D
1	R
0	R
0	D
1	R
0	R
1	D
1	R
1	R
0	D
1	D
0	D
1	R
0	D
1	R
1	R
0	D
0	D
0	R
0	R
1	D
0	D
0	D
0	R
1	D
1	D
1	R
1	R
0	D
1	R
1	R
0	R
1	D
0	D
0	D
0	D
0	D
1	D
1	R
1	R
0	R
1	D
0	D
0	R
0	D
1	D
1	D
1	D
0	D
0	R
1	D
0	D
1	D
1	D
1	D
0	R
1	D
0	R
0	R
1	R
1	R
1	D
1	R
0	D
0	R
1	R
0	D
0	R
0	D
0	D
0	D
1	R
0	D
1	D
1	D
1	R
1	R
0	R
0	D
1	R
1	R
0	D
1	D
1	R
0	D
1	R
0	D
1	R
0	D
0	R
1	R
0	D
0	D
1	D
0	D
0	R
1	R
1	R
0	D
0	R
1	R
1	R
0	R
0	R
0	D
0	D
0	D
1	D
0	R
0	D
0	D
1	D
0	R
1	R
1	R
0	R
0	R
1	R
1	D
1	D
1	D
1	D
0	D
0	D
0	D
0	R
1	R
0	D
0	D
0	R
0	D
0	D
0	D
0	R
0	R
0	D
1	R
0	R
0	R
1	D
1	R
0	R
0	D
1	D
0	D
1	R
1	R
0	D
0	D
0	R
1	R
1	D
1	R
1	D
1	R
0	D
0	R
0	D
1	R
1	D
0	R
0	D
0	D
0	D
1	D
0	D
1	R
0	D
1	R
1	D
0	R
0	D
1	D
0	R
0	D
0	R
0	R
0	D
0	D
1	R
1	D
1	D
0	D
1	R
0	D
0	R
1	R
0	R
1	R
1	D
1	D
1	R
1	R
1	R
0	R
0	D
1	R
0	R
0	R
0	R
1	R
0	D
0	D
1	D
0	D
0	D
0	R
0	D
0	R
0	D
0	D
1	D
0	D
0	R
0	D
0	R
1	D
1	D
1	D
0	R
1	R
0	D
1	D
1	R
0	R
1	D
1	D
1	R
0	D
0	R
1	D
0	D
0	R
0	R
1	D
0	R
1	D
0	R
0	R
1	R
1	R
0	D
1	D
1	R
0	D
1	D
0	D
0	D
1	D
0	D
0	R
0	D
1	R
1	D
0	R
1	D
0	D
1	D
1	R
1	D
0	R
0	R
1	D
1	D
0	D
0	R
1	R
0	D
1	D
0	D
1	R
1	R
0	D
0	D
0	R
0	D
0	D
1	R
0	R
1	D
0	D
0	R
1	R
1	R
0	R
1	R
0	D
0	R
0	R
1	D
1	R
0	D
0	R
0	R
0	R
1	R
0	D
0	R
1	D
1	D
0	R
1	D
0	D
0	D
1	R
0	R
1	D
0	D
0	R
1	D
1	D
1	D
0	D
0	D
0	D
0	R
1	R
1	R
1	D
0	R
1	D
1	D
1	R
1	R
0	D
0	R
1	R
0	D
1	D
0	R
0	D
1	R
1	R
1	D
1	D
0	R
1	D
0	R
1	D
0	D
1	R
0	D
0	R
1	D
1	R
0	R
1	D
1	R
0	D
1	R
1	R
1	R
1	D
1	D
1	R
0	D
0	D
1	R
1	R
0	R
1	D
1	R
0	R
1	D
1	R
0	D
1	R
1	D
1	R
1	R
1	R
0	D
1	D
0	R
0	R
1	D
1	R
0	R
0	R
1	D
0	D
0	R
0	D
0	R
0	D
0	R
1	R
0	D
1	R
1	R
0	D
1	D
1	R
1	D
0	D
0	D
0	R
0	D
1	R
0	D
0	R
1	R
0	D
0	R
0	R
1	D
0	D
1	R
1	D
1	D
1	R
1	R
0	R
1	D
1	R
1	D
0	R
1	R
1	R
0	R
1	D
1	D
0	D
1	D
0	D
1	R
1	R
1	D
0	D
0	R
0	D
0	D
1	R
0	D
0	D
0	D
1	D
1	D
1	D
1	R
1	D
0	D
0	D
1	D
1	R
0	D
1	R
1	D
0	R
1	D
1	D
1	R
1	R
0	D
1	D
0	D
1	D
1	D
1	R
0	D
1	D
1	D
1	R
0	D
1	D
0	D
0	R
1	R
0	D
0	D
1	R
0	R
1	R
0	D
0	R
1	R
1	R
1	R
0	D
1	D
1	D
1	R
1	R
1	D
1	D
1	D
0	D
1	R
0	R
0	D
1	D
0	D
0	D
0	R
0	R
0	R
0	R
0	D
0	D
0	R
0	D
1	D
0	D
0	R
1	D
1	D
1	R
0	R
0	R
0	R
1	D
0	R
0	D
1	R
1	D
1	D
0	R
0	D
0	D
0	R
1	R
0	D
0	R
1	R
1	R
1	R
0	R
1	D
0	R
1	D
1	D
0	D
1	R
1	R
1	R
0	D
1	D
0	D
1	D
1	D
1	R
1	R
1	D
1	R
0	D
0	D
1	D
1	R
0	R
1	R
1	D
1	R
0	R
1	R
1	D
0	R
1	R
0	D
1	R
1	D
1	D
1	R
1	D
0	R
0	D
0	R
0	D
1	R
1	R
0	R
1	R
1	D
1	R
0	R
0	R
1	R
0	D
1	R
0	D
1	R
1	D
1	D
1	D
1	D
1	R
1	D
1	D
1	D
1	R
1	R
0	R
0	D
0	D
1	D
0	D
0	R
0	D
0	R
1	D
1	D
1	D
0	D
0	R
1	D
0	R
1	D
0	R
1	D
0	R
0	D
1	D
0	R
0	R
1	R
0	R
1	D
0	D
0	D
1	R
1	R
1	D
1	D
1	R
0	R
0	D
1	D
1	D
0	D
0	D
1	R
1	R
0	D
0	D
0	R
0	R
1	D
0	R
0	R
0	D
1	D
0	D
1	D
1	R
1	R
1	D
1	R
1	D
0	D
0	D
0	D
0	R
1	D
0	R
0	R
0	D
0	D
0	R
0	D
0	D
1	D
1	R
1	R
1	R
0	D
0	D
1	D
1	D
1	R
0	R
0	D
1	R
0	R
1	R
0	R
0	D
0	D
1	D
0	R
0	R
0	D
0	D
1	R
1	D
1	D
0	D
1	D
1	D
1	D
1	R
1	D
1	D
0	R
0	D
1	D
1	R
1	D
0	D
0	R
0	R
0	D
1	R
0	D
0	R
1	R
1	R
1	R
0	R
1	R
1	D
0	D
1	D
1	R
1	D
1	R
1	D
0	D
0	R
1	R
1	R
1	D
1	D
1	D
0	D
1	R
0	D
1	D
1	D
1	D
0	D
1	R
0	R
1	D
1	D
0	R
0	D
1	D
1	R
1	D
0	D
0	D
1	D
0	D
1	D
1	R
1	D
0	D
0	D
0	R
0	D
1	R
0	D
1	R
0	D
0	D
0	D
1	D
