Bit_Alice,Base_Alice,Bit_Eve,Base_Eve,Base_Bob,Coinciden_Bases,Bit_Bob
0,R,0,R,R,True,0.0
0,D,0,D,D,True,0.0
1,D,1,R,D,False,
0,R,0,D,R,False,
0,D,0,D,D,True,0.0
0,R,0,R,R,True,0.0
0,R,0,R,R,True,0.0
1,R,0,D,R,False,
1,R,0,D,R,False,
0,R,1,D,R,False,
0,D,0,R,D,False,
1,R,1,R,R,True,1.0
1,D,1,R,D,False,
0,R,1,D,R,False,
0,D,0,D,D,True,0.0
1,D,1,R,D,False,
1,R,1,R,R,True,1.0
1,R,1,R,R,True,1.0
1,D,1,D,D,True,1.0
1,R,1,R,R,True,1.0
1,R,0,D,R,False,
0,D,0,R,D,False,
1,D,1,R,D,False,
0,R,0,D,R,False,
1,D,1,D,D,True,1.0
1,R,1,R,R,True,1.0
1,R,1,R,R,True,1.0
0,D,0,R,D,False,
0,R,0,R,R,True,0.0
1,R,1,R,R,True,1.0
1,D,0,R,D,False,
1,R,0,D,R,False,
1,R,0,D,R,False,
1,R,1,D,R,False,
1,R,0,D,R,False,
0,D,0,D,D,True,0.0
0,R,0,R,R,True,0.0
1,D,1,D,D,True,1.0
0,R,1,D,R,False,
1,D,1,D,D,True,1.0
0,D,0,R,D,False,
1,R,1,D,R,False,
1,R,1,R,R,True,1.0
1,D,1,D,D,True,1.0
1,D,1,D,D,True,1.0
0,D,0,D,D,True,0.0
0,D,0,D,D,True,0.0
0,R,1,D,R,False,
0,R,0,R,R,True,0.0
1,R,1,R,R,True,1.0
0,D,0,R,D,False,
1,D,1,D,D,True,1.0
1,D,1,D,D,True,1.0
1,R,1,R,R,True,1.0
0,D,0,D,D,True,0.0
0,R,0,D,R,False,
1,R,0,D,R,False,
1,R,1,R,R,True,1.0
0,R,0,D,R,False,
0,D,0,D,D,True,0.0
1,D,1,D,D,True,1.0
0,D,0,R,D,False,
1,R,1,R,R,True,1.0
0,R,0,R,R,True,0.0
0,D,0,D,D,True,0.0
1,R,1,R,R,True,1.0
0,R,0,D,R,False,
0,D,0,R,D,False,
0,D,0,D,D,True,0.0
1,R,1,R,R,True,1.0
0,D,0,D,D,True,0.0
1,R,1,D,R,False,
0,D,1,R,D,False,
0,D,0,D,D,True,0.0
0,D,1,R,D,False,
0,R,0,R,R,True,0.0
1,D,1,D,D,True,1.0
1,R,0,D,R,False,
0,R,1,D,R,False,
0,D,1,R,D,False,
1,D,0,R,D,False,
1,R,1,R,R,True,1.0
1,R,1,D,R,False,
1,D,1,R,D,False,
1,R,1,R,R,True,1.0
0,R,0,D,R,False,
1,D,1,D,D,True,1.0
1,D,1,D,D,True,1.0
0,R,1,D,R,False,
1,R,0,D,R,False,
0,D,1,R,D,False,
1,R,1,R,R,True,1.0
1,R,1,R,R,True,1.0
1,D,1,D,D,True,1.0
1,D,0,R,D,False,
0,R,0,R,R,True,0.0
0,R,1,D,R,False,
0,D,0,R,D,False,
0,R,0,D,R,False,
0,R,0,R,R,True,0.0
1,R,1,D,R,False,
1,D,1,R,D,False,
1,R,1,D,R,False,
0,R,0,D,R,False,
0,R,0,D,R,False,
0,R,0,R,R,True,0.0
0,R,1,D,R,False,
0,R,0,D,R,False,
1,R,0,D,R,False,
1,R,1,R,R,True,1.0
1,R,1,R,R,True,1.0
1,D,1,D,D,True,1.0
0,D,1,R,D,False,
1,R,1,R,R,True,1.0
1,D,1,D,D,True,1.0
1,D,0,R,D,False,
0,D,0,R,D,False,
0,R,0,R,R,True,0.0
1,D,1,D,D,True,1.0
1,D,1,D,D,True,1.0
1,R,1,R,R,True,1.0
0,R,0,D,R,False,
1,D,1,D,D,True,1.0
1,D,1,D,D,True,1.0
0,R,0,R,R,True,0.0
1,R,0,D,R,False,
1,R,1,R,R,True,1.0
0,D,1,R,D,False,
0,D,0,D,D,True,0.0
1,D,1,D,D,True,1.0
0,R,0,R,R,True,0.0
1,R,1,R,R,True,1.0
1,D,1,D,D,True,1.0
1,R,1,R,R,True,1.0
1,R,0,D,R,False,
1,D,1,D,D,True,1.0
0,R,1,D,R,False,
1,R,0,D,R,False,
0,D,0,D,D,True,0.0
0,D,0,R,D,False,
1,D,0,R,D,False,
1,D,1,D,D,True,1.0
0,R,0,R,R,True,0.0
0,R,1,D,R,False,
0,R,0,R,R,True,0.0
1,R,0,D,R,False,
1,D,0,R,D,False,
1,R,0,D,R,False,
1,D,0,R,D,False,
1,R,1,D,R,False,
0,R,0,R,R,True,0.0
1,D,1,R,D,False,
0,D,0,D,D,True,0.0
0,D,0,D,D,True,0.0
1,D,1,D,D,True,1.0
0,D,0,R,D,False,
0,R,0,R,R,True,0.0
1,D,0,R,D,False,
1,R,1,R,R,True,1.0
0,R,0,R,R,True,0.0
1,D,1,R,D,False,
0,D,0,D,D,True,0.0
1,R,1,R,R,True,1.0
1,D,1,R,D,False,
0,D,0,D,D,True,0.0
0,D,0,R,D,False,
0,D,0,D,D,True,0.0
0,D,0,R,D,False,
0,R,0,R,R,True,0.0
1,R,1,D,R,False,
0,R,0,D,R,False,
